game,track.id,track.name,track.artist,track.album.name,track.album.release_date,track.album.release_date_precision,track.explicit,track.duration_ms,track.popularity,track.external_urls.spotify,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Just Dance 2021,46lFttIf5hnUZMGvjK0Wxo,Runaway (U & I),Galantis,Pharmacy,05/06/2015,day,FALSE,227073,75,https://open.spotify.com/track/46lFttIf5hnUZMGvjK0Wxo,0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008
Just Dance 2021,7s86DMywme9XBbMnGDeKMx,Alexandrie Alexandra,Jérôme Francis,Alexandrie Alexandra (Just Dance 2021: Original Creations & Covers),12/11/2020,day,FALSE,263938,20,https://open.spotify.com/track/7s86DMywme9XBbMnGDeKMx,0.622,0.887,11,-5.997,0,0.0686,0.0451,1.98E-06,0.0414,0.948,126.018
Just Dance 2021,3Dv1eDb0MEgF93GpLXlucZ,Say So,Doja Cat,Hot Pink,07/11/2019,day,TRUE,237893,81,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.583,0,0.159,0.264,3.35E-06,0.0904,0.779,110.962
Just Dance 2021,4JUPEh2DVSXFGExu4Uxevz,Ice Cream (with Selena Gomez),BLACKPINK & Selena Gomez,THE ALBUM,02/10/2020,day,FALSE,177813,68,https://open.spotify.com/track/4JUPEh2DVSXFGExu4Uxevz,0.79,0.701,9,-4.81,1,0.365,0.0317,8.06E-05,0.0311,0.91,159.972
Just Dance 2021,6meAvS8tVRGx15tfjubz0x,Señorita,Shawn Mendes & Camila Cabello,Viral Hits Vol. 4,06/11/2020,day,FALSE,190960,23,https://open.spotify.com/track/6meAvS8tVRGx15tfjubz0x,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947
Just Dance 2021,2We5ArmGEQBLJBddOHt8EN,Samba de Janeiro,Ultraclub 90,Samba de Janeiro (Just Dance 2021 Original Creations & Covers),12/11/2020,day,FALSE,169295,28,https://open.spotify.com/track/2We5ArmGEQBLJBddOHt8EN,0.648,0.863,4,-4.438,0,0.0599,0.000418,0.0127,0.282,0.743,132.936
Just Dance 2021,0svvvbTUgEy79F6Sxweyjo,Temperature,Sean Paul,The Trinity,26/09/2005,day,FALSE,216466,59,https://open.spotify.com/track/0svvvbTUgEy79F6Sxweyjo,0.951,0.597,0,-4.651,0,0.0669,0.104,0,0.0718,0.819,125.024
Just Dance 2021,6KzkqZqhUBEsWYJJa2aBOd,The Weekend - Radio Edit,Michael Gray,Analog Is On,01/06/2007,day,FALSE,192173,67,https://open.spotify.com/track/6KzkqZqhUBEsWYJJa2aBOd,0.686,0.832,4,-5.673,0,0.0725,0.000321,0.127,0.583,0.884,127.023
Just Dance 2021,24uc9MzhGgcPuIofqBpu7H,In the Navy,The Sunlight Shakers,In the Navy (Just Dance 2021 Original Creations & Covers),12/11/2020,day,FALSE,218274,22,https://open.spotify.com/track/24uc9MzhGgcPuIofqBpu7H,0.663,0.963,7,-3.684,0,0.107,0.0456,0,0.332,0.881,127.171
Just Dance 2021,73OTmqCIE7YJCsFBGlgEkZ,Volar (feat. Susan Diaz & Victor Cardenas),"Lele Pons, Susan Díaz & Victor Cardenas",Volar (feat. Susan Diaz & Victor Cardenas),12/03/2020,day,FALSE,182214,52,https://open.spotify.com/track/73OTmqCIE7YJCsFBGlgEkZ,0.8,0.726,5,-7.896,0,0.0511,0.0377,0.0167,0.146,0.402,128.084
Just Dance 2021,7lQ8MOhq6IN2w8EYcFNSUk,Without Me,Eminem,The Eminem Show,26/05/2002,day,TRUE,290320,88,https://open.spotify.com/track/7lQ8MOhq6IN2w8EYcFNSUk,0.908,0.669,7,-2.827,1,0.0738,0.00286,0,0.237,0.662,112.238
Just Dance 2021,2Q8yiVAQDkpWYMA8E17yI0,ZENIT,ONUKA,ZENIT,26/06/2019,day,FALSE,271189,38,https://open.spotify.com/track/2Q8yiVAQDkpWYMA8E17yI0,0.658,0.679,6,-5.766,1,0.0445,0.107,0.134,0.389,0.247,140.055
Just Dance 2021,4h4AEqy0iBbjdlbtWvIx5O,Get Get Down,Paul Johnson,Get Get Down,1999,year,FALSE,367786,58,https://open.spotify.com/track/4h4AEqy0iBbjdlbtWvIx5O,0.879,0.95,5,-6.375,0,0.0746,0.000161,0.806,0.0714,0.615,126.903
Just Dance 2021,3dsyqPDiWYYilRZNBxgxHE,Magenta Riddim,DJ Snake,Carte Blanche,25/07/2019,day,FALSE,194490,64,https://open.spotify.com/track/3dsyqPDiWYYilRZNBxgxHE,0.602,0.892,10,-3.66,0,0.0672,0.000393,0.813,0.304,0.57,102.047
Just Dance 2021,24ySl2hOPGCDcxBxFIqWBu,Rain On Me (with Ariana Grande),Lady Gaga & Ariana Grande,Rain On Me (with Ariana Grande),22/05/2020,day,FALSE,182200,75,https://open.spotify.com/track/24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.021,0,0.323,0.646,123.056
Just Dance 2021,463PQggkmk5tTw8ug0ahOX,The Other Side (from Trolls World Tour),SZA & Justin Timberlake,The Other Side (from Trolls World Tour),26/02/2020,day,FALSE,188186,65,https://open.spotify.com/track/463PQggkmk5tTw8ug0ahOX,0.76,0.607,7,-6.274,1,0.0964,0.00277,0,0.132,0.709,105.979
Just Dance 2021,1ucAgkQ4EQDCSXQ2kEk99k,UNO,Little Big,UNO,12/03/2020,day,FALSE,160756,56,https://open.spotify.com/track/1ucAgkQ4EQDCSXQ2kEk99k,0.836,0.909,9,-5.037,1,0.0735,0.00204,0.00316,0.057,0.788,142.056
