Player,Solo score,Solo top1,Solo kd,Solo winRatio,Solo matches,Solo kills,Solo minutesPlayed,Duos score,Duos top1,Duos kd,Duos winRatio,Duos matches,Duos kills,Duos minutesPlayed,Trios score,Trios top1,Trios kd,Trios winRatio,Trios matches,Trios kills,Trios minutesPlayed,Squads score,Squads top1,Squads kd,Squads winRatio,Squads matches,Squads kills,Squads minutesPlayed,LTM score,LTM top1,LTM top3,LTM kd,LTM winRatio,LTM matches,LTM kills,LTM minutesPlayed,Source
Ruѕh,2160464,1314,4.76,16.8,7806,30873,66014,1342974,1404,7.44,27.4,5123,27676,43478,112819,57,3.16,15.1,377,1012,4707,1094484,932,4.48,17.4,5360,19818,35441,346696,214,154,5.82,14.4,1486,7402,9781,
Avxry,2635603,2648,5.89,18.3,14446,69513,80092,463704,1166,5.82,24.7,4713,20650,14625,232705,155,5.26,21.7,713,2935,7557,1368881,1665,5.63,23.3,7159,30948,42117,185215,126,90,8.46,13,971,7145,5896,
Tp_sergio23,1290487,182,0.82,2.1,8575,6847,60371,1280151,652,2.12,10.5,6185,11755,50761,486457,216,2.34,11.6,1855,3831,21244,1644000,510,1.38,6.4,8002,10338,72471,120264,22,26,2.78,3.7,597,1600,4450,
byArteer,3809643,2341,4.87,22.4,10430,39417,121281,535332,474,8.77,34,1394,8069,17911,9166,4,2.96,13.3,30,77,401,332237,219,5.71,24.3,900,3886,11775,189208,102,85,8.36,18.4,553,3771,5946,
TheZokii,344837,107,2.63,4.6,2351,5912,11150,942986,625,3.97,13.3,4694,16152,32821,317883,175,3.98,16.9,1034,3418,11705,3078537,1506,3.5,12.3,12213,37464,106536,87601,29,44,4.44,6.5,444,1843,2575,
Papa Toson,1953617,276,1.36,2.8,9952,13134,79177,1912544,902,1.92,10.2,8821,15236,75480,220499,101,3.05,12.5,810,2164,8640,592484,163,1.53,4.9,3332,4853,23515,146890,11,34,3.25,2.3,469,1487,4694,
101shanks,431941,70,1.41,1.8,3850,5335,17043,3690906,2121,1.97,8.1,26310,47696,135455,172592,50,1.72,6,837,1351,7723,385786,142,1.7,4.9,2920,4717,14791,27204,14,17,1.69,3.4,406,663,979,
SpeedArtery YT,11051,6,2.09,15,40,71,421,3255744,1527,2.48,13,11757,25384,131919,90945,34,2.05,10.1,335,618,3961,1311867,380,1.65,7,5459,8389,54537,516761,34,29,6.17,2.3,1489,8981,19864,
GAMER لعيب ア,1353024,64,0.83,0.6,10276,8452,61901,1963759,713,1.96,6,11932,21960,73163,463732,96,1.31,3.7,2566,3247,20822,892439,188,1.46,3.2,5855,8248,35517,426616,42,67,1.68,1.9,2216,3661,13152,
Ssu-haib,569842,51,1.48,0.9,5658,8296,22241,2998161,825,2.15,3.5,23464,48565,112673,,,,,,,,1103454,146,1.76,1.7,8650,14948,45441,72554,19,25,2.25,3.2,601,1308,2356,
Óbvio éo Tonho,350908,72,1.54,1.8,3957,5983,13223,2686540,1571,2.61,8.8,17839,42430,90732,442979,92,2.25,4,2286,4931,18036,1184435,368,1.95,4.3,8640,16103,44646,192365,85,87,3.69,7.7,1105,3766,5465,
xo_niki,91820,30,1.5,4.3,695,997,3509,3882042,3115,2.22,19.5,16001,28557,137916,189013,179,5.94,40.1,446,1586,6003,498971,343,1.37,7.6,4500,5694,19040,243437,79,111,4.39,10.4,757,2976,6417,
Reaperbash,99113,25,1.22,5.6,450,518,4055,3108625,1463,1.45,10.7,13727,17784,127301,356998,194,2.03,15.9,1218,2078,14187,1093161,271,1.24,5.7,4779,5597,46724,291492,28,61,5.99,3.1,905,5255,10807,
7CH.,1358807,134,1.15,1.5,8783,9914,58912,2722328,604,1.25,3.8,15931,19086,120799,104155,20,1.51,3.6,557,810,4789,471126,135,2.24,5.9,2282,4818,18328,126238,23,44,3.24,3.2,709,2223,4779,
TSM EmadGG,1735036,1186,2.79,7.3,16303,42126,70789,349078,704,3.2,15,4685,12753,11363,1328037,915,3.82,21.9,4181,12468,42721,1239348,970,2.79,10.9,8883,22094,45622,79435,162,106,3.53,10.3,1574,4980,2505,
In7ense.ttv,907017,458,2.63,9.6,4791,11396,37241,2314056,1833,3.56,14.6,12545,38106,83449,207424,55,1.96,5.6,988,1831,9534,1229144,837,3.13,10.2,8191,23028,48677,36947,43,56,3.75,10.8,398,1333,1262,
sucukemail-sucuk,1995810,1159,2.94,10.4,11135,29329,63696,138214,79,2.56,5,1578,3838,4888,80431,30,2.07,7.7,391,746,3103,2431329,1430,3.37,13.5,10554,30763,80235,44933,27,17,1.98,3,910,1747,1403,
fabry.70,2672310,274,1.21,2.7,10247,12022,116844,1132085,358,0.6,6.8,5273,2936,51182,72039,15,0.36,3.9,389,133,3462,754064,147,0.54,4.2,3540,1849,34224,1129431,44,105,1.02,1.3,3316,3331,38772,
DS w4k,1353350,385,2.18,4.2,9116,19067,52263,697770,406,1.98,7.5,5415,9925,26769,1116947,561,4.38,14.8,3779,14105,42236,1471376,590,2.49,7.3,8103,18736,57197,96293,29,25,2.15,3.7,777,1611,3096,
TimSad,1706934,410,1.86,3.3,12598,22681,65919,923512,430,2.32,9.2,4699,9900,36718,304156,164,3.35,16.5,991,2774,11400,1700579,508,2.19,6.3,8119,16694,67907,496222,27,32,15.79,2,1318,20390,19535,
DreDenn on YT,153532,29,1.17,2.4,1226,1397,6569,1882125,1209,1.37,7.6,15925,20141,69282,1444931,518,1.46,8,6441,8646,63145,1155498,367,1.29,4.6,7950,9795,48407,471864,283,386,1.88,6.6,4269,7476,16259,
Hаrukiyo,1821087,508,3.65,6.6,7663,26084,63927,655774,325,2.98,8,4051,11121,21490,819688,365,3.73,13,2814,9133,33617,1341693,528,3.45,9.3,5693,17838,50567,196760,68,55,5.57,10.6,644,3210,4431,
Monoclide,1220114,189,0.88,2.8,6862,5891,53894,1821554,1101,1.92,14.9,7365,12017,67466,301250,148,2.08,12.9,1151,2088,12118,1286012,539,1.65,10,5401,7998,49980,658528,74,129,4.41,3.3,2274,9695,23078,
RailCart,4479084,456,0.73,1.8,25222,17993,202919,1293,5,0.13,1.3,371,47,61,,,,,,,,152801,18,0.26,1.2,1562,398,7335,885,0,1,0.26,0,117,30,47,
Fαtαlity,2439235,309,1.01,2.4,12918,12759,113497,917609,287,0.94,4.4,6492,5841,39989,45091,4,0.62,1.5,267,163,2103,1221778,167,0.99,2.2,7432,7212,55510,453751,52,71,2.48,3.2,1631,3921,9006,
Microd0t,114356,36,1.58,4.3,846,1282,4175,2607628,2215,1.9,15.6,14160,22704,81884,91077,40,1.5,10.6,379,509,3829,1800815,1053,2.93,15.7,6726,16616,60654,182636,78,93,3.29,9.5,819,2438,5354,
Abboudi,3929948,222,1.35,1.1,19867,26461,162462,237344,52,0.5,2.7,1927,938,10941,3675,0,0.09,0,33,3,246,441370,28,0.77,0.9,3231,2471,19744,10060,1,1,0.92,1,96,87,446,
Mkay-Ultra,893152,128,1.41,2.2,5784,7967,37567,1559222,1028,2.29,12.7,8076,16160,53299,53749,16,1.83,7.2,221,375,2162,2097419,745,2.7,7.5,9880,24653,76415,857936,251,318,5.56,7.8,3211,16454,27201,
Yel FatouMwaka,984681,1096,3.31,15.2,7193,20206,34751,1770842,2008,3.03,12,16727,44573,56562,276803,133,3.26,12.6,1055,3003,10383,1577116,1214,2.95,11.7,10389,27098,53965,106402,116,86,3.3,10.4,1114,3294,2239,
SpOkO21,1403116,88,0.54,1.1,7863,4235,70998,3122293,1717,2.52,13,13179,28845,122611,12205,2,0.56,2.3,86,47,581,69839,29,1.87,8,361,620,2759,312160,18,32,3.78,1.7,1062,3951,12662,
ℳ o . Ｓ ℽ ℛ,256506,45,1.51,2.4,1896,2799,10095,2925504,2032,2.8,14.8,13742,32742,96572,221834,113,2.76,13.5,834,1987,8558,1195001,408,2.08,6,6784,13268,42951,240182,97,147,3.03,7.7,1256,3508,7805,
Nick Eh 30,2055217,1850,4.47,12.1,15279,60047,69147,577716,653,4.9,18.8,3477,13830,17954,367838,154,2.43,11.2,1371,2960,15291,1582161,1357,4.33,13.8,9813,36652,54104,137927,181,84,6.63,15.2,1187,6671,3839,
it-mahdi,856446,207,1.59,5.4,3803,5729,34059,1692201,1003,2.31,15,6683,13100,62733,179848,70,1.63,8.9,789,1169,8176,1853770,633,1.68,8,7896,12217,74932,294800,35,53,3.87,4,873,3239,8402,
TDT_Banishmaster,3153732,264,0.48,1.4,18719,8767,169810,162521,133,0.44,8,1668,669,6990,435129,84,0.27,4.3,1949,497,23541,812334,151,0.32,3.1,4876,1513,42949,47616,28,22,0.76,2.5,1107,818,1901,
Éson,1632394,335,1.52,2.3,14452,21450,60481,1439622,832,1.75,8.5,9820,15760,54693,144591,67,2.42,11.9,562,1197,5572,1341983,373,1.5,3.9,9539,13763,53311,342537,51,50,3,2.3,2249,6589,10407,
