name,wins,kills,kdRatio,killstreak,level,losses,prestige,hits,timePlayed,headshots,averageTime,gamesPlayed,assists,misses,xp,scorePerMinute,shots,deaths,source
ratatamignon#6228965,0,297,1.08,0,27,3,111,0,120,55,120,0,34,0,264301,0,0,275,
FivesTv_KimDamZ#6406760,99,5247,1.032467532,16,47,11,36,16773,291,1006,1.711764706,170,874,64234,724911,262.4020619,81007,5082,
nvalex#2099059,0,0,0,0,1,0,35,0,0,0,0,0,0,0,0,0,0,0,
KerKzy0#9959551,0,8,0.571428571,0,2,0,0,0,7,0,7,0,0,0,6175,0,0,14,
anon87032542#8972576,16,478,1.160194175,14,9,7,0,1866,38,61,2.111111111,18,64,7067,49030,253.8157895,8933,412,
Soilder_1947#9882768,0,7,0.12962963,0,2,0,110,0,8,3,8,0,5,0,5875,0,0,54,
Jamil12345678901#7197038,12,124,0.976377953,8,4,5,0,440,21,30,2.333333333,9,26,1680,16945,141.0857143,2120,127,
mikeyflores126#6025982,10,134,0.498141264,7,10,2,110,321,78,21,39,2,25,1808,50643,26.93846154,2129,269,
evo_64,621,28002,1.006397355,14,245,51,111,34053,2023,3492,2.936139332,689,2893,225637,6843591,165.9698468,259690,27824,
GUGLOSS#6116264,544,8155,0.7026538,10,162,7,111,24908,1718,1783,8.504950495,202,1997,150414,3276822,76.35611176,175322,11606,
Crossie666,103,3263,0.980174226,14,40,8,11,7219,240,385,2.307692308,104,390,31550,514296,275.7275,38769,3329,
GearHeadBabe4#7473213,254,4509,0.646822551,9,62,7,110,14213,660,622,3.402061856,194,885,79496,1035250,205.6481818,93709,6971,
RZT_Cobrak#8158484,0,684,0.897637795,0,44,1,3,0,345,126,345,0,30,0,639720,0,0,762,
dawud_12345#9677632,3,237,1.209183673,11,8,5,0,1147,15,30,1.363636364,11,38,5692,35655,330.88,6839,196,
RedFury235#7950763,21,329,0.850129199,4,22,2,110,121,123,54,41,3,111,785,188657,11.21463415,906,387,
gdkrocks#4169293,65,1263,0.754029851,11,22,8,10,3167,138,177,3,46,312,13038,179280,228.4043478,16205,1675,
ScottSchwagga#1139381,92,317,0.687635575,6,19,2,110,496,127,47,14.11111111,9,49,3271,140843,59.47086614,3767,461,
Ikertzi#8150135,0,2,0.5,0,1,0,110,0,2,0,2,0,0,0,3400,0,0,4,
FoggierMedusa69#3061626,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Waxe#1882793,0,42,0.381818182,0,7,0,0,0,50,6,50,0,1,0,29000,0,0,110,
BigGunzGaming,373,12236,1.881593111,11,351,14,111,6559,2197,2748,23.12631579,95,1122,25157,11391186,21.50659991,31716,6503,
OlavFlame1#2959388,56,59,0.343023256,2,11,1,10,26,88,10,88,1,1,358,58850,4.813636364,384,172,
anon86810858#8992359,18,206,0.686666667,8,11,7,0,713,44,56,2.444444444,18,54,3114,64326,234.8318182,3827,300,
bunko#4332953,59,89,0.760683761,0,13,0,37,0,59,18,59,0,0,0,75725,0,0,117,
Emilio_MX106#5573019,65,737,0.928211587,16,22,5,1,1630,151,150,4.081081081,37,88,7424,184746,141.210596,9054,794,
Jackgww#2602384,2,0,0,0,1,0,0,0,2,0,2,0,0,0,100,0,0,4,
user31544026#8979392,675,15427,0.949762975,16,137,10,110,49539,1529,2309,2.363214838,647,3071,191737,2358003,181.7427077,241276,16243,
xD_clapped3#7692062,0,54,0.446280992,0,10,0,110,0,58,10,58,0,22,0,54825,0,0,121,
zalupendrikos#3724105,0,5,0.454545455,0,2,0,0,0,6,1,6,0,0,0,5375,0,0,11,
fatmanbrad,395,13544,1.080925778,30,126,22,48,42045,977,2825,1.938492063,504,1830,131573,2059531,306.6270215,173618,12530,
h4nna20#7670760,256,2197,0.737495804,11,32,15,110,23055,601,972,4.419117647,136,1438,94502,348895,203.7074875,117557,2979,
Dami010#1498325,2,467,0.735433071,6,32,1,111,387,186,83,93,2,181,1845,356832,12.35806452,2232,635,
Sourmilk176143#7076893,10,21,0.477272727,2,2,0,0,46,14,2,14,0,2,401,7145,50.65714286,447,44,
GcTACO#8171226,0,6,0.24,0,2,0,0,0,12,1,12,0,0,0,5590,0,0,25,
PsychoAbdul#1841770,25,1058,1.2997543,26,19,8,0,3563,55,172,2.037037037,27,111,10551,150715,285.6981818,14114,814,
Tiny man#7109151,51,3169,1.192249812,17,121,5,111,3132,722,904,32.81818182,22,201,14645,1951753,26.13573407,17777,2658,
SoleBuffalo#5539720,0,6,0.315789474,0,2,0,110,0,9,3,9,0,9,0,4225,0,0,19,
